5 Spooky Spider Myths Busted (Discovery),http://news.feedzilla.com/en_us/stories/science/407166090?client_source=api&format=json,"A lot of the fear surrounding spiders is based on myths, not facts, according
to the experts who study these eight-legged creatures.

"
A New Edition of Bioethics is Available (bioethicscom),http://news.feedzilla.com/en_us/stories/science/407362264?client_source=api&format=json,"Bioethics (Vol. 28, No. 8, October 2014) is now available online by
subscription only. Articles include: ""A framework to link international
clinical research to the promotion of justice in global health"" by Bridget
Pratt and Bebe Loff "" Stigmatization and denormalization … Read More

"
Android Co-Founder Andy Rubin Leaving Google,http://rss.slashdot.org/~r/Slashdot/slashdot/~3/eEnL5Vu5HAA/story01.htm,"An anonymous reader writes: The Wall Street Journal reports that Andy Rubin is leaving Google. Rubin co-founded Android in 2003 and stayed on when the company was acquired by Google in 2005. Rubin led Android through the acquisition of over a billion users, until 2013 when he moved to Google's robotics division. He was replaced in the Android division by Sundar Pichai, who continues in charge of that, Chrome, Google+, and many other products. Rubin's robotics role will be filled by James Kuffner. ""Mr. Rubin's departure is a blow to Google's robotics efforts. However, Mr. Kuffner is experienced in the sector, having worked on human-like robot technology for over two decades, including seven years at Carnegie Mellon University and five years on Google's self-driving car project.""<p><div class=""share_submission"" style=""position:relative;""> <a class=""slashpop"" href=""http://twitter.com/home?status=Android+Co-Founder+Andy+Rubin+Leaving+Google%3A+http%3A%2F%2Fhardware.slashdot.org%2Fstory%2F14%2F10%2F31%2F1611202%2F%3Futm_source%3Dtwitter%26utm_medium%3Dtwitter""><img src=""http://a.fsdn.com/sd/twitter_icon_large.png""></a> <a class=""slashpop"" href=""http://www.facebook.com/sharer.php?u=http%3A%2F%2Fhardware.slashdot.org%2Fstory%2F14%2F10%2F31%2F1611202%2Fandroid-co-founder-andy-rubin-leaving-google%3Futm_source%3Dslashdot%26utm_medium%3Dfacebook""><img src=""http://a.fsdn.com/sd/facebook_icon_large.png""></a> <a class=""nobg"" href=""http://plus.google.com/share?url=http://hardware.slashdot.org/story/14/10/31/1611202/android-co-founder-andy-rubin-leaving-google?utm_source=slashdot&amp;utm_medium=googleplus"" onclick=""javascript:window.open(this.href,'', 'menubar=no,toolbar=no,resizable=yes,scrollbars=yes,height=600,width=600');return false;""><img src=""http://www.gstatic.com/images/icons/gplus-16.png"" alt=""Share on Google+""/></a> </div></p><p><a href=""http://hardware.slashdot.org/story/14/10/31/1611202/android-co-founder-andy-rubin-leaving-google?utm_source=rss1.0moreanon&amp;utm_medium=feed"">Read more of this story</a> at Slashdot.</p><iframe src=""http://slashdot.org/slashdot-it.pl?op=discuss&amp;id=5914079&amp;smallembed=1"" style=""height: 300px; width: 100%; border: none;""></iframe><img width='1' height='1' src='http://slashdot.feedsportal.com/c/35028/f/647410/s/4008acaa/sc/21/mf.gif' border='0'/><br clear='all'/><br/><br/><a href=""http://da.feedsportal.com/r/211597094595/u/49/f/647410/c/35028/s/4008acaa/sc/21/rc/1/rc.htm"" rel=""nofollow""><img src=""http://da.feedsportal.com/r/211597094595/u/49/f/647410/c/35028/s/4008acaa/sc/21/rc/1/rc.img"" border=""0""/></a><br/><a href=""http://da.feedsportal.com/r/211597094595/u/49/f/647410/c/35028/s/4008acaa/sc/21/rc/2/rc.htm"" rel=""nofollow""><img src=""http://da.feedsportal.com/r/211597094595/u/49/f/647410/c/35028/s/4008acaa/sc/21/rc/2/rc.img"" border=""0""/></a><br/><a href=""http://da.feedsportal.com/r/211597094595/u/49/f/647410/c/35028/s/4008acaa/sc/21/rc/3/rc.htm"" rel=""nofollow""><img src=""http://da.feedsportal.com/r/211597094595/u/49/f/647410/c/35028/s/4008acaa/sc/21/rc/3/rc.img"" border=""0""/></a><br/><br/><a href=""http://da.feedsportal.com/r/211597094595/u/49/f/647410/c/35028/s/4008acaa/sc/21/a2.htm""><img src=""http://da.feedsportal.com/r/211597094595/u/49/f/647410/c/35028/s/4008acaa/sc/21/a2.img"" border=""0""/></a><img width=""1"" height=""1"" src=""http://pi.feedsportal.com/r/211597094595/u/49/f/647410/c/35028/s/4008acaa/sc/21/a2t.img"" border=""0""/><img src=""http://feeds.feedburner.com/~r/Slashdot/slashdot/~4/eEnL5Vu5HAA"" height=""1"" width=""1""/>"
Ask Slashdot: Can You Say Something Nice About Systemd?,http://rss.slashdot.org/~r/Slashdot/slashdot/~3/5bYEMf-YlxU/story01.htm,"ewhac writes: ""I'm probably going to deeply deeply regret this, but every time a story appears here mentioning systemd, a 700-comment thread of back-and-forth bickering breaks out which is about as informative as an old Bud Light commercial, and I don't really learn anything new about the subject. My gut reaction to systemd is (currently) a negative one, and it's very easy to find screeds decrying systemd on the net. However, said screeds haven't been enough to prevent its adoption by several distros, which leads me to suspect that maybe there's something worthwhile there that I haven't discovered yet. So I thought it might be instructive to turn the question around and ask the membership about what makes systemd good. However, before you stab at the ""Post"" button, there are some rules... Bias Disclosure: I currently dislike systemd because &mdash; without diving very deeply into the documentation, mind &mdash; it looks and feels like a poorly-described, gigantic mess I know nothing about that seeks to replace other poorly-described, smaller messes which I know a little bit about. So you will be arguing in that environment."" Nice Things About systemd Rules: Post each new Nice Thing as a new post, not as a reply to another post. This will let visitors skim the base level of comments for things that interest them, rather than have to dive through a fractally expanding tree of comments looking for things to support/oppose. It will also make it easier to follow the next rule: Avoid duplication; read the entire base-level of comments before adding a new Nice Thing. Someone may already have mentioned your Nice Thing. Add your support/opposition to that Nice Thing there, rather than as a new post. Only one concrete Nice Thing about systemd per base-level post. Keep the post focused on a single Nice Thing systemd does. If you know of multiple distinct things, write multiple distinct posts. Describe the Nice Thing in some detail. Don't assume, for example, that merely saying ""Supports Linux cgroups"" will be immediately persuasive. Describe how the Nice Thing is better than existing, less controversial solutions. systemd is allegedly better at some things than sysvinit or upstart or inetd. Why? Why is the Nice Thing possible in systemd, and impossible (or extremely difficult) with anything else? (In some cases, the Nice Thing will be a completely new thing that's never existed before; describe why it's good thing.)We will assume out of the gate that systemd boots your system faster than ${SOMETHING_ELSE}, so no points for bringing that up. Bonus points are awarded for: Personal Experience. ""I actually did this,"" counts for way more than, ""The docs claim you can do this."" Working Examples. Corollary to the above &mdash; if you did a Nice Thing with systemd, consider also posting the code/script/service file you wrote to accomplish it. Links to Supporting Documentation. If you leveraged a Nice Thing, furnish a link to the docs you used that describe the Nice Thing and its usage.<p><div class=""share_submission"" style=""position:relative;""> <a class=""slashpop"" href=""http://twitter.com/home?status=Ask+Slashdot%3A+Can+You+Say+Something+Nice+About+Systemd%3F%3A+http%3A%2F%2Flinux.slashdot.org%2Fstory%2F14%2F10%2F30%2F229221%2F%3Futm_source%3Dtwitter%26utm_medium%3Dtwitter""><img src=""http://a.fsdn.com/sd/twitter_icon_large.png""></a> <a class=""slashpop"" href=""http://www.facebook.com/sharer.php?u=http%3A%2F%2Flinux.slashdot.org%2Fstory%2F14%2F10%2F30%2F229221%2Fask-slashdot-can-you-say-something-nice-about-systemd%3Futm_source%3Dslashdot%26utm_medium%3Dfacebook""><img src=""http://a.fsdn.com/sd/facebook_icon_large.png""></a> <a class=""nobg"" href=""http://plus.google.com/share?url=http://linux.slashdot.org/story/14/10/30/229221/ask-slashdot-can-you-say-something-nice-about-systemd?utm_source=slashdot&amp;utm_medium=googleplus"" onclick=""javascript:window.open(this.href,'', 'menubar=no,toolbar=no,resizable=yes,scrollbars=yes,height=600,width=600');return false;""><img src=""http://www.gstatic.com/images/icons/gplus-16.png"" alt=""Share on Google+""/></a> </div></p><p><a href=""http://linux.slashdot.org/story/14/10/30/229221/ask-slashdot-can-you-say-something-nice-about-systemd?utm_source=rss1.0moreanon&amp;utm_medium=feed"">Read more of this story</a> at Slashdot.</p><iframe src=""http://slashdot.org/slashdot-it.pl?op=discuss&amp;id=5904953&amp;smallembed=1"" style=""height: 300px; width: 100%; border: none;""></iframe><img width='1' height='1' src='http://slashdot.feedsportal.com/c/35028/f/647410/s/4005e9c4/sc/4/mf.gif' border='0'/><br clear='all'/><br/><br/><a href=""http://da.feedsportal.com/r/211597061553/u/49/f/647410/c/35028/s/4005e9c4/sc/4/rc/1/rc.htm"" rel=""nofollow""><img src=""http://da.feedsportal.com/r/211597061553/u/49/f/647410/c/35028/s/4005e9c4/sc/4/rc/1/rc.img"" border=""0""/></a><br/><a href=""http://da.feedsportal.com/r/211597061553/u/49/f/647410/c/35028/s/4005e9c4/sc/4/rc/2/rc.htm"" rel=""nofollow""><img src=""http://da.feedsportal.com/r/211597061553/u/49/f/647410/c/35028/s/4005e9c4/sc/4/rc/2/rc.img"" border=""0""/></a><br/><a href=""http://da.feedsportal.com/r/211597061553/u/49/f/647410/c/35028/s/4005e9c4/sc/4/rc/3/rc.htm"" rel=""nofollow""><img src=""http://da.feedsportal.com/r/211597061553/u/49/f/647410/c/35028/s/4005e9c4/sc/4/rc/3/rc.img"" border=""0""/></a><br/><br/><a href=""http://da.feedsportal.com/r/211597061553/u/49/f/647410/c/35028/s/4005e9c4/sc/4/a2.htm""><img src=""http://da.feedsportal.com/r/211597061553/u/49/f/647410/c/35028/s/4005e9c4/sc/4/a2.img"" border=""0""/></a><img width=""1"" height=""1"" src=""http://pi.feedsportal.com/r/211597061553/u/49/f/647410/c/35028/s/4005e9c4/sc/4/a2t.img"" border=""0""/><img src=""http://feeds.feedburner.com/~r/Slashdot/slashdot/~4/5bYEMf-YlxU"" height=""1"" width=""1""/>"
Avivagen publishes evidence for natural alternative to antibiotic use in livestock (Eurekalert),http://news.feedzilla.com/en_us/stories/science/407397532?client_source=api&format=json,"(_JS Communications_) Today the leading journal PLOS ONE published research
that provides underlying scientific support for a fundamentally new type of
natural alternative to the use of antibiotics in livestock feeds for growth
promotion and disease prevention. This research comes at a time when
stakeholders across the globe, including national health regulators, are
looking to avoid usage of antibiotics in livestock due to concerns they pose
threats to public health.

"
Breaching Air-Gap Security With Radio,http://rss.slashdot.org/~r/Slashdot/slashdot/~3/gAddAjVaEZU/story01.htm,"An anonymous reader writes: Security researcher Mordechai Guri with the guidance of Prof. Yuval Elovici from the cyber security labs at Ben-Gurion University in Israel presented at MALCON 2014 a breakthrough method (""AirHopper"") for leaking data from an isolated computer to a mobile phone without the presence of a network. In highly secure facilities the assumption today is that data can not leak outside of an isolated internal network. It is called air-gap security. AirHopper demonstrates how the computer display can be used for sending data from the air-gapped computer to a near by smartphone. The published paper and a demonstration video are at the link.<p><div class=""share_submission"" style=""position:relative;""> <a class=""slashpop"" href=""http://twitter.com/home?status=Breaching+Air-Gap+Security+With+Radio%3A+http%3A%2F%2Fit.slashdot.org%2Fstory%2F14%2F10%2F31%2F141207%2F%3Futm_source%3Dtwitter%26utm_medium%3Dtwitter""><img src=""http://a.fsdn.com/sd/twitter_icon_large.png""></a> <a class=""slashpop"" href=""http://www.facebook.com/sharer.php?u=http%3A%2F%2Fit.slashdot.org%2Fstory%2F14%2F10%2F31%2F141207%2Fbreaching-air-gap-security-with-radio%3Futm_source%3Dslashdot%26utm_medium%3Dfacebook""><img src=""http://a.fsdn.com/sd/facebook_icon_large.png""></a> <a class=""nobg"" href=""http://plus.google.com/share?url=http://it.slashdot.org/story/14/10/31/141207/breaching-air-gap-security-with-radio?utm_source=slashdot&amp;utm_medium=googleplus"" onclick=""javascript:window.open(this.href,'', 'menubar=no,toolbar=no,resizable=yes,scrollbars=yes,height=600,width=600');return false;""><img src=""http://www.gstatic.com/images/icons/gplus-16.png"" alt=""Share on Google+""/></a> </div></p><p><a href=""http://it.slashdot.org/story/14/10/31/141207/breaching-air-gap-security-with-radio?utm_source=rss1.0moreanon&amp;utm_medium=feed"">Read more of this story</a> at Slashdot.</p><iframe src=""http://slashdot.org/slashdot-it.pl?op=discuss&amp;id=5913585&amp;smallembed=1"" style=""height: 300px; width: 100%; border: none;""></iframe><img width='1' height='1' src='http://slashdot.feedsportal.com/c/35028/f/647410/s/4007cd3d/sc/4/mf.gif' border='0'/><br clear='all'/><br/><br/><a href=""http://da.feedsportal.com/r/211597067957/u/49/f/647410/c/35028/s/4007cd3d/sc/4/rc/1/rc.htm"" rel=""nofollow""><img src=""http://da.feedsportal.com/r/211597067957/u/49/f/647410/c/35028/s/4007cd3d/sc/4/rc/1/rc.img"" border=""0""/></a><br/><a href=""http://da.feedsportal.com/r/211597067957/u/49/f/647410/c/35028/s/4007cd3d/sc/4/rc/2/rc.htm"" rel=""nofollow""><img src=""http://da.feedsportal.com/r/211597067957/u/49/f/647410/c/35028/s/4007cd3d/sc/4/rc/2/rc.img"" border=""0""/></a><br/><a href=""http://da.feedsportal.com/r/211597067957/u/49/f/647410/c/35028/s/4007cd3d/sc/4/rc/3/rc.htm"" rel=""nofollow""><img src=""http://da.feedsportal.com/r/211597067957/u/49/f/647410/c/35028/s/4007cd3d/sc/4/rc/3/rc.img"" border=""0""/></a><br/><br/><a href=""http://da.feedsportal.com/r/211597067957/u/49/f/647410/c/35028/s/4007cd3d/sc/4/a2.htm""><img src=""http://da.feedsportal.com/r/211597067957/u/49/f/647410/c/35028/s/4007cd3d/sc/4/a2.img"" border=""0""/></a><img width=""1"" height=""1"" src=""http://pi.feedsportal.com/r/211597067957/u/49/f/647410/c/35028/s/4007cd3d/sc/4/a2t.img"" border=""0""/><img src=""http://feeds.feedburner.com/~r/Slashdot/slashdot/~4/gAddAjVaEZU"" height=""1"" width=""1""/>"
Breeders’ Cup Picks: Day 1 (New York Times),http://news.feedzilla.com/en_us/stories/science/407200170?client_source=api&format=json,"Win, place and show selections for Friday’s Breeders’ Cup races at Santa Anita
Park.

"
"China is at serious risk from #Ebola outbreak, says Peter Piot (climateark)",http://news.feedzilla.com/en_us/stories/science/407238885?client_source=api&format=json,"Daily Mail: A scientist who helped to discover the Ebola virus says he is
concerned the disease could spread to China given the large numbers of Chinese
workers traveling to and from Africa. Peter Piot, director of the London
School of Hygiene and Tropical Medicine, said on Thursday the scenario of the
deadly virus reaching China was 'not rocket science.' 'The concern I have is
that I don't think you can really stop people from traveling. These patients
will show up in any country in the world, but China...

"
Colleges Face New 'Gainful Employment' Regulations For Student Loans,http://rss.slashdot.org/~r/Slashdot/slashdot/~3/QXslSgAEdsk/story01.htm,"HughPickens.com writes: Education Secretary Arne Duncan says the Education Department wants to make sure loan programs that prey on students don't continue their abusive practices. Now Kimberly Hefling reports that for-profit colleges who are not producing graduates capable of paying off their student loans could soon stand to lose access to federal student-aid programs. In order to receive federal student aid, the law requires that most for-profit programs, regardless of credential level, and most non-degree programs at non-profit and public institutions, including community colleges, prepare students for ""gainful employment in a recognized occupation"" (PDF). To meet these ""gainful employment"" standards, a program will have to show that the estimated annual loan payment of a typical graduate does not exceed 20 percent of his or her discretionary income or 8 percent of total earnings. ""Career colleges must be a stepping stone to the middle class. But too many hard-working students find themselves buried in debt with little to show for it. That is simply unacceptable,"" says Duncan. ""These regulations are a necessary step to ensure that colleges accepting federal funds protect students, cut costs and improve outcomes. We will continue to take action as needed."" But not everyone is convinced the rules go far enough. ""The rule is far too weak to address the grave misconduct of predatory for-profit colleges,"" writes David Halperin. ""The administration missed an opportunity to issue a strong rule, to take strong executive action and provide real leadership on this issue."" The final gainful employment regulations follow an extensive rulemaking process involving public hearings, negotiations and about 95,000 public comments and will go into effect on July 1, 2015.<p><div class=""share_submission"" style=""position:relative;""> <a class=""slashpop"" href=""http://twitter.com/home?status=Colleges+Face+New+'Gainful+Employment'+Regulations+For+Student+Loans%3A+http%3A%2F%2Fnews.slashdot.org%2Fstory%2F14%2F10%2F31%2F1735221%2F%3Futm_source%3Dtwitter%26utm_medium%3Dtwitter""><img src=""http://a.fsdn.com/sd/twitter_icon_large.png""></a> <a class=""slashpop"" href=""http://www.facebook.com/sharer.php?u=http%3A%2F%2Fnews.slashdot.org%2Fstory%2F14%2F10%2F31%2F1735221%2Fcolleges-face-new-gainful-employment-regulations-for-student-loans%3Futm_source%3Dslashdot%26utm_medium%3Dfacebook""><img src=""http://a.fsdn.com/sd/facebook_icon_large.png""></a> <a class=""nobg"" href=""http://plus.google.com/share?url=http://news.slashdot.org/story/14/10/31/1735221/colleges-face-new-gainful-employment-regulations-for-student-loans?utm_source=slashdot&amp;utm_medium=googleplus"" onclick=""javascript:window.open(this.href,'', 'menubar=no,toolbar=no,resizable=yes,scrollbars=yes,height=600,width=600');return false;""><img src=""http://www.gstatic.com/images/icons/gplus-16.png"" alt=""Share on Google+""/></a> </div></p><p><a href=""http://news.slashdot.org/story/14/10/31/1735221/colleges-face-new-gainful-employment-regulations-for-student-loans?utm_source=rss1.0moreanon&amp;utm_medium=feed"">Read more of this story</a> at Slashdot.</p><iframe src=""http://slashdot.org/slashdot-it.pl?op=discuss&amp;id=5914347&amp;smallembed=1"" style=""height: 300px; width: 100%; border: none;""></iframe><img width='1' height='1' src='http://slashdot.feedsportal.com/c/35028/f/647410/s/40096dde/sc/36/mf.gif' border='0'/><br clear='all'/><br/><br/><a href=""http://da.feedsportal.com/r/211597076173/u/49/f/647410/c/35028/s/40096dde/sc/36/rc/1/rc.htm"" rel=""nofollow""><img src=""http://da.feedsportal.com/r/211597076173/u/49/f/647410/c/35028/s/40096dde/sc/36/rc/1/rc.img"" border=""0""/></a><br/><a href=""http://da.feedsportal.com/r/211597076173/u/49/f/647410/c/35028/s/40096dde/sc/36/rc/2/rc.htm"" rel=""nofollow""><img src=""http://da.feedsportal.com/r/211597076173/u/49/f/647410/c/35028/s/40096dde/sc/36/rc/2/rc.img"" border=""0""/></a><br/><a href=""http://da.feedsportal.com/r/211597076173/u/49/f/647410/c/35028/s/40096dde/sc/36/rc/3/rc.htm"" rel=""nofollow""><img src=""http://da.feedsportal.com/r/211597076173/u/49/f/647410/c/35028/s/40096dde/sc/36/rc/3/rc.img"" border=""0""/></a><br/><br/><a href=""http://da.feedsportal.com/r/211597076173/u/49/f/647410/c/35028/s/40096dde/sc/36/a2.htm""><img src=""http://da.feedsportal.com/r/211597076173/u/49/f/647410/c/35028/s/40096dde/sc/36/a2.img"" border=""0""/></a><img width=""1"" height=""1"" src=""http://pi.feedsportal.com/r/211597076173/u/49/f/647410/c/35028/s/40096dde/sc/36/a2t.img"" border=""0""/><img src=""http://feeds.feedburner.com/~r/Slashdot/slashdot/~4/QXslSgAEdsk"" height=""1"" width=""1""/>"
Denmark Plans To Be Coal-Free In 10 Years,http://rss.slashdot.org/~r/Slashdot/slashdot/~3/u2segsIcJ-s/story01.htm,"merbs writes ""Earlier this year, Denmark's leadership announced that the nation would run entirely on renewable power by 2050. Wind, solar, and biomass would be ramped up while coal and gas are phased out. Now Denmark has gone even further, and plans to end coal by 2025.<p><div class=""share_submission"" style=""position:relative;""> <a class=""slashpop"" href=""http://twitter.com/home?status=Denmark+Plans+To+Be+Coal-Free+In+10+Years%3A+http%3A%2F%2Fhardware.slashdot.org%2Fstory%2F14%2F10%2F30%2F2232210%2F%3Futm_source%3Dtwitter%26utm_medium%3Dtwitter""><img src=""http://a.fsdn.com/sd/twitter_icon_large.png""></a> <a class=""slashpop"" href=""http://www.facebook.com/sharer.php?u=http%3A%2F%2Fhardware.slashdot.org%2Fstory%2F14%2F10%2F30%2F2232210%2Fdenmark-plans-to-be-coal-free-in-10-years%3Futm_source%3Dslashdot%26utm_medium%3Dfacebook""><img src=""http://a.fsdn.com/sd/facebook_icon_large.png""></a> <a class=""nobg"" href=""http://plus.google.com/share?url=http://hardware.slashdot.org/story/14/10/30/2232210/denmark-plans-to-be-coal-free-in-10-years?utm_source=slashdot&amp;utm_medium=googleplus"" onclick=""javascript:window.open(this.href,'', 'menubar=no,toolbar=no,resizable=yes,scrollbars=yes,height=600,width=600');return false;""><img src=""http://www.gstatic.com/images/icons/gplus-16.png"" alt=""Share on Google+""/></a> </div></p><p><a href=""http://hardware.slashdot.org/story/14/10/30/2232210/denmark-plans-to-be-coal-free-in-10-years?utm_source=rss1.0moreanon&amp;utm_medium=feed"">Read more of this story</a> at Slashdot.</p><iframe src=""http://slashdot.org/slashdot-it.pl?op=discuss&amp;id=5905011&amp;smallembed=1"" style=""height: 300px; width: 100%; border: none;""></iframe><img width='1' height='1' src='http://slashdot.feedsportal.com/c/35028/f/647410/s/400282c8/sc/29/mf.gif' border='0'/><br clear='all'/><br/><br/><a href=""http://da.feedsportal.com/r/211597048134/u/49/f/647410/c/35028/s/400282c8/sc/29/rc/1/rc.htm"" rel=""nofollow""><img src=""http://da.feedsportal.com/r/211597048134/u/49/f/647410/c/35028/s/400282c8/sc/29/rc/1/rc.img"" border=""0""/></a><br/><a href=""http://da.feedsportal.com/r/211597048134/u/49/f/647410/c/35028/s/400282c8/sc/29/rc/2/rc.htm"" rel=""nofollow""><img src=""http://da.feedsportal.com/r/211597048134/u/49/f/647410/c/35028/s/400282c8/sc/29/rc/2/rc.img"" border=""0""/></a><br/><a href=""http://da.feedsportal.com/r/211597048134/u/49/f/647410/c/35028/s/400282c8/sc/29/rc/3/rc.htm"" rel=""nofollow""><img src=""http://da.feedsportal.com/r/211597048134/u/49/f/647410/c/35028/s/400282c8/sc/29/rc/3/rc.img"" border=""0""/></a><br/><br/><a href=""http://da.feedsportal.com/r/211597048134/u/49/f/647410/c/35028/s/400282c8/sc/29/a2.htm""><img src=""http://da.feedsportal.com/r/211597048134/u/49/f/647410/c/35028/s/400282c8/sc/29/a2.img"" border=""0""/></a><img width=""1"" height=""1"" src=""http://pi.feedsportal.com/r/211597048134/u/49/f/647410/c/35028/s/400282c8/sc/29/a2t.img"" border=""0""/><img src=""http://feeds.feedburner.com/~r/Slashdot/slashdot/~4/u2segsIcJ-s"" height=""1"" width=""1""/>"
